u_id,review,u_rate,p_id,review_en
Alpertbyun,"서울 시청역 1호선,2호선에서 나오면 바로 위치하고 있는 광장 여름에는 잔디, 겨울에는 때에따라 아이스링크장으로 변신하여 운영됩니다. 도심속에 있는 잔디 뭔가 좋았어요.",4,1134,"If you come out of Seoul City Hall Line 1 and Line 2, you will be able to change into a lawn in summer and an ice rink in winter. The grass in the city center was nice."
woo junggil,"서울시청 앞에 있는 큰 광장이다. 평소에는 푸른 잔디가 펼쳐저 있지만, 시위나 행사, 집회의 용도로 활용되기도 한다. 겨울에는 아이스링크가 만들어진다. 큰 축구경기가 있으면 여기서 대규모 응원전을 볼 수 있다.",4,1134,"It is a large square in front of Seoul City Hall. Usually, green grass is spread out, but it is also used for demonstrations, events, and rallies. Ice rinks are made in winter. If you have a big soccer game, you can see a big cheering match here."
양지현,겨울이다보니 푸릇푸릇한 잔디는 없고 간이 아이스링크가 설치되어 있었습니다. 사람들이 즐겁게 스케이트를 타고 있는데 재밌어 보이더라구요. 아이와 함께 와서 스케이트 타면 좋을것 같은 곳이었습니다..(미세먼지만 없다면...ㅠㅠ),5,1134,"Since it is winter, there is no green grass and there is a simple ice rink. People were enjoying skating and it looked fun. It was a good place to come and skate with my child.(Without fine dust...)ᅲᅲ)"
Han,주말이나 꼭 특별한 날이 아니라도 최근에는 점심시간 혹은 퇴근 후 광장에서 공연도 많이 진행하고 다양한 이벤트들이 열려서 잠시 쉬어가며 즐기기에 좋다.,5,1134,"Even if it's not a weekend or a special day, recently, there are many performances at the square during lunchtime or after work, and various events are held, so it's good to take a break and enjoy."
용마사,시청 앞에 있는 잔디광장이죠~~ 여러 이벤트를 하는 곳이죠!! 지나가면서 구경하기 좋아요!!!,4,1134,The grass square in front of City Hall.~~~ It's a place where there are many events! It's good to see while passing by!!!
J J,겨울에는 스케이트장을 운영해 놀기 좋다. 빌딩숲 사이에 광장이 있어 뻥뚫린 느낌이 들었다.,4,1134,"It is good to play by running a skating rink in winter. There was a square between the forest of buildings, which made me feel pierced."
Ju-yeon Y,서울광장이 크고 좋지만 집회하는 사람들과 노숙하는 사람들이 많아서 눈살을 찌푸리게 됩니다. 필수로 가볼만한 곳은 아니지만 겨울에 스케이트 타러 가볼만 합니다,3,1134,"Seoul Plaza is big and nice, but I get frowned on because there are a lot of people who are gathering and homeless. It's not a must-go place, but it's worth going skating in winter."
이안팍,주말에 바람 쐬러 가기 좋은 곳이다 앞에 파란 잔디도 좋고 뛰어 놀아도 좋고 눈이 맑아지는 것 같은 곳이다 다양한 행사도 해서 심심하지 않다,5,1134,"It's a good place to go for a picnic on the weekend. Blue grass in front of you, play with you, and clear your eyes. I'm not bored because I'm doing various events."
duck3222,항상 뉴스로만 보던 서울광장~ 집회가 있는 날이아니라 그런지 시민들이 자리하고잇는 모습이 보기 좋았습니다. 뉴스에서 보던 모습때문에 광장하면 부정적인 이미지였는데 막상 가서 보니까 문화축제를 하는곳~ 매일매일 공연을 하는곳이었습니다. 최근까지 클래식 공연이 있었고 9월에는 감성충전 페스티말이라는 행사가 진행중이었습니다. 공연을 보려했던건 아니지만 무대장치며 이미 돗자리 펴고 준비중이신 분들을 보니~ 제가 생각했던 이미지와는 많이 다른곳이었습니다.,3,1134,"Seoul Plaza, which I've always seen on the news. It was nice to see the citizens sitting here because it wasn't a day of assembly. Because of what I saw on the news, the plaza was a negative image, but when I went there, there was a cultural festival. It was a place where I performed every day. Until recently, there was a classical performance and in September, an event called the Emotional Filling Festival was under way. I didn't mean to watch the concert, but I saw people who were already preparing for the concert with their stage settings. It was very different from the image I had in mind."
봉기 문,서울 광장은 서울시청 앞에 있는 시민을 위한 광장으로 서울의 랜드마크이지요. 도심 한가운데에서 넓은 잔디마당이 있어 때로는 지는 해를 보며 힐링하기도 합니다. 다만 그늘은 없습니다.,5,1134,"Seoul Plaza is a landmark for citizens in front of Seoul City Hall. There is a large lawn in the middle of the city, so sometimes I feel refreshed by looking at the setting sun. But there is no shade."
으헤헤헤헹,나들이 놀러가세요 봄 가을에 도시락들고 피크닉 가세요 단 시위 있는날은 피해서 가시고요 공연도있으니 알아보고가세요,5,1134,"Go out for a picnic. Take your lunch box for a picnic in the spring and fall. But avoid the day of the protest, and find out about the performance."
Karl-Styner,"서울 시청 앞의 광장으로 잔디밭이 조성되어 있고, 서울역에서 걸어서 갈 수 있을만큼 가깝다. 그리고 지하철 역도 연결되어져 있으며, 여름에는 분수대가, 겨울에는 스케이트장으로서 시청이 장소를 잘 활용한다.",4,1134,"A lawn is built in front of Seoul City Hall, and it is close enough to walk from Seoul Station. And the subway station is also connected, and the fountain in summer and the city hall makes good use of the place as a skating rink in winter."
펭귄뒷구르기,"여름에는 분수도 나오고 겨울에는 스케이트장도 생기고, 즐거운 무언가가 항상 있는 곳입니다. 집회도 많아서 항상 뜨겁게 살아숨쉬는 공간이라 생각됩니다. 안으로 들어와보면 생각보다 구경거리가 많아 즐기기 좋습니다.",5,1134,"It's a place where there are fountains in summer, skating rink in winter, and something fun is always there. There are many gatherings, so I think it's always a hot place to breathe. If you come inside, there are many things to see, so it'"
이안팍,주말에 잔디 밭에서 아이와 뛰어 놀거나 공 놀이 하기도 좋다 근데 집회가 많아서 그건 좀 안 좋다,5,1134,"It's good to play ball or run with a child on the grass on weekends, but that's not good because there are many rallies."
bjh3676,"1호선, 2호선 시청역과 가깝습니다. 보통 시청역 광장이라고도 하는데, 광화문 청계천 종로, 명동, 덕수궁 등 유명명소들과 접해있는 요충지입니다. 콘서트, 행사, 집회 등 서울의 역사와 함께 살아 숨쉬고 있는 곳이라고 해도 무방합니다. 겨울에는 아이스링크장이 개설되기도 합니다.",4,1134,"It is close to City Hall Station on Line 1 and Line 2. It is also called the City Hall Station Square, and it is an important location that is adjacent to famous places such as Gwanghwamun, Cheonggyecheon, Jongno, Myeong-dong, and Deoksugung Palace. It is safe to say that this place is alive and breathing with the history of Seoul, such as concerts, events, and rallies. In winter, ice rink is opened."
sunnyje,"서울시청 앞에 자리잡은 잔디광장으로, 각종 행사 및 집회가 열리는 도심 한복판의 공간입니다. 겨울에는 스케이트장이 생기는 놀이공간으로 변신합니다.",4,1134,"Located in front of Seoul City Hall, it is a grass square in the middle of the city where various events and rallies are held. In winter, it turns into an amusement park where a skating rink is formed."
PINKSHOW01,하이서울페스티벌등 여러가지 행사 및 집회가 자주 열리는 곳. 여름에는 광장분수에서 뛰어노는 아이들도 많이 볼 수 있어서 바쁜 도시한가운데 여유를 즐길 수 있는 곳임.,4,1134,"A place where various events and rallies are held frequently, such as the Hi Seoul Festival. In summer, you can see a lot of children running around the plaza fountain, so you can relax in the middle of the busy city."
여행사모,겨울엔 스케이트장을 개봉해서 저렴한 가격에 스케이트을 경험 할 수 있습니다. 플라자 호텔도 바로 앞에 보여서 좋아요.,4,1134,"In winter, you can experience skating at a low price by opening the skating rink. It's nice to see the Plaza Hotel right in front of you."
곰다섯마리,스케이트 타러 방문. 겨울이라 좀 춥긴했지만 저렴한 가격에 마음껏 스케이트를 즐길 수 있어 아이들이 너무 좋아했어요.,4,1134,"A visit to skate. It was a bit cold in winter, but the children loved it because they could enjoy skating at a low price."
