u_id,p_id,rating
*2,121,4.5
-채여니영화평-,287,4.0
-채여니영화평-,414,3.5
-채여니영화평-,271,3.5
-채여니영화평-,264,5.0
-채여니영화평-,606,3.5
-채여니영화평-,262,3.5
-채여니영화평-,526,5.0
-채여니영화평-,45,4.0
-채여니영화평-,255,5.0
-채여니영화평-,250,4.5
-채여니영화평-,37,4.5
-채여니영화평-,645,3.0
-채여니영화평-,248,4.5
-채여니영화평-,239,3.5
-채여니영화평-,49,3.5
-채여니영화평-,236,3.5
-채여니영화평-,643,5.0
-채여니영화평-,234,3.5
-채여니영화평-,540,2.0
-채여니영화평-,543,5.0
-채여니영화평-,227,3.0
-채여니영화평-,53,3.5
-채여니영화평-,82,3.5
-채여니영화평-,223,4.0
-채여니영화평-,295,3.5
-채여니영화평-,35,3.5
-채여니영화평-,405,3.5
-채여니영화평-,404,4.5
-채여니영화평-,619,4.0
-채여니영화평-,455,4.0
-채여니영화평-,456,3.5
-채여니영화평-,98,4.5
-채여니영화평-,462,2.5
-채여니영화평-,616,3.0
-채여니영화평-,615,5.0
-채여니영화평-,477,3.0
-채여니영화평-,651,2.0
-채여니영화평-,22,3.5
-채여니영화평-,614,3.5
-채여니영화평-,329,4.0
-채여니영화평-,492,3.5
-채여니영화평-,324,5.0
-채여니영화평-,320,4.0
-채여니영화평-,612,4.0
-채여니영화평-,318,4.0
-채여니영화평-,625,5.0
-채여니영화평-,653,4.5
-채여니영화평-,113,3.5
-채여니영화평-,481,4.0
-채여니영화평-,222,4.0
-채여니영화평-,415,3.5
-채여니영화평-,197,4.0
-채여니영화평-,601,4.0
-채여니영화평-,599,3.5
-채여니영화평-,220,4.0
-채여니영화평-,67,4.5
-채여니영화평-,211,4.0
-채여니영화평-,597,3.5
-채여니영화평-,68,보고싶어요
-채여니영화평-,214,5.0
-채여니영화평-,568,2.0
-채여니영화평-,56,4.5
-채여니영화평-,430,3.5
-채여니영화평-,594,3.5
-채여니영화평-,207,3.5
.S.faith,0,3.0
002,10,2.5
002,652,3.0
002,428,2.5
002,509,3.0
029256,419,3.0
029256,418,4.0
0NE,445,0.5
0young1228,519,3.0
100K&D,644,4.5
100K&D,368,4.0
100K&D,523,3.5
100i,422,4.0
11,578,2.5
11,356,1.0
11,667,1.5
11,502,0.5
11,569,4.0
11,389,3.0
11,391,4.0
11,520,1.5
11,398,0.5
11,332,1.5
11,574,0.5
11,204,0.5
11,645,1.5
1233,169,2.5
1233,654,1.0
12qwas,563,4.0
13,398,2.0
13,593,2.0
13,77,3.5
13,297,4.5
13,178,4.0
13,100,3.0
13,480,4.5
13,334,4.0
134340,451,4.5
134340,17,3.0
134340,117,3.5
134340,123,2.0
134340,265,4.0
1412,418,4.0
159,471,4.0
159,601,5.0
16,104,3.0
190,167,1.0
1일1영화,29,5.0
1주일에영화한편,477,4.5
1주일에영화한편,260,1.5
1주일에영화한편,420,3.0
2,245,4.0
20,45,5.0
21,653,4.5
21,330,보고싶어요
21stApr,400,2.0
240,453,2.5
2newday,126,4.0
2민지,219,2.0
300,191,4.0
316,542,0.5
4점빌런,559,4.5
502,105,0.5
5jp,169,1.5
5jp,336,2.5
5jp,453,2.5
5jp,6,3.0
5jp,27,3.5
619,171,5.0
620,14,0.5
718339,637,2.0
718339,514,2.0
718339,55,3.0
718339,214,3.5
718339,568,1.0
718339,267,2.5
7602,266,3.0
7602,375,3.0
7602,263,4.5
81,591,2.0
8282,444,1.5
8848,168,2.0
8848,411,0.5
8848,197,4.0
8848,612,3.0
8848,198,3.0
8848,574,1.0
8848,434,3.5
8848,208,5.0
948,299,1.0
96koreng,543,4.5
96koreng,119,2.5
99,281,1.5
999,159,4.5
9PNY,664,4.0
@l0v3.R,159,4.0
A-reumKim,5,5.0
A24,382,3.5
A24,490,4.5
A24,577,3.0
A24,224,3.5
A24,322,3.5
A24,473,3.5
A24,472,5.0
A24,569,4.0
A24,549,3.0
A24,511,2.5
A24,554,2.5
A24,367,4.0
A24,465,2.0
A24,336,3.0
A24,6,2.0
A24,540,4.0
A24,664,4.0
A24,151,3.0
A24,581,3.0
A24,456,2.0
A24,617,2.5
A24,435,2.5
A24,484,4.0
A24,349,3.5
ABcorp,341,4.0
ABcorp,529,4.0
ALL,37,4.0
ALL,93,3.5
ALL,45,3.5
ALL,38,2.5
ASHLEY,594,1.0
ASHLEY,435,3.0
ATOUSA,445,2.5
Abelle,110,3.0
Actinium,651,2.5
Actinium,445,3.0
Actinium,647,5.0
Actinium,298,4.0
Actinium,266,4.0
Actinium,574,2.0
Actinium,416,3.0
Actinium,632,3.5
Adele,270,5.0
Adele,612,5.0
AdeleExarchopoulos,601,4.0
Aeri,268,3.5
Aeri,251,4.0
Aeri,72,4.5
Aeri,160,3.0
Aeri,259,5.0
Aeri,207,4.0
Aeri,277,4.0
Aeri,77,4.0
Aeri,292,5.0
Aeri,230,3.5
Aeri,229,4.5
Aeri,147,3.5
Aeri,106,4.5
Aeri,225,4.5
Aeri,97,3.5
Aeri,89,4.0
Aeri,145,3.5
Aeri,177,5.0
AhReumHan,659,5.0
Ahipdream,602,2.0
AlanJang,657,5.0
AlexWon,171,5.0
AlexWon,218,4.5
AlexWon,651,3.0
AlexWon,477,3.0
AlexWon,516,5.0
AlexWon,12,5.0
Amable,544,5.0
AmesLee,573,4.0
AmyAhra,147,4.0
Anna,454,3.5
Annna,375,3.5
Annna,113,4.0
Annnn,19,3.5
Annnn,14,3.0
Annnn,20,3.5
AnyJeon,290,3.0
AnyJeon,60,2.0
AnyJeon,621,5.0
April,447,3.5
April🌼,291,3.0
April🌼,582,3.0
Arcturus,396,4.0
Arcturus,646,3.0
Arcturus,537,4.0
Arcturus,153,4.5
Arcturus,134,5.0
Arcturus,553,4.0
Arcturus,390,4.0
Arcturus,318,4.5
Arcturus,206,4.5
Arcturus,215,4.5
Arcturus,410,4.0
Arcturus,400,1.0
Arcturus,450,2.5
Arcturus,350,4.0
Arcturus,630,3.0
Arcturus,275,1.0
Arcturus,207,4.0
Arcturus,269,4.0
Arcturus,547,4.0
Arcturus,171,4.5
Arcturus,645,3.5
Arcturus,427,3.0
Arcturus,326,5.0
Arcturus,312,2.5
Arcturus,616,4.0
Arcturus,600,3.5
AreumLee,394,5.0
Atthefilm,54,4.0
Atthefilm,15,3.0
Automat,290,0.5
Axllow,580,3.0
Axllow,444,3.0
Axllow,360,3.0
Axllow,366,2.5
AyoungAlice,460,4.5
AyoungAlice,667,4.5
AyoungAlice,469,보고싶어요
AyoungAlice,404,3.5
AyoungAlice,414,4.5
AyoungAlice,651,0.5
AyoungAlice,601,4.5
AyoungAlice,430,4.0
AyoungAlice,584,0.5
AyoungAlice,254,2.0
AyoungAlice,606,3.0
BAESMUYNTE,143,2.0
BB,0,5.0
BBBB,302,4.0
BBIBB,174,4.0
BBU,443,2.0
BECKS,652,2.0
BHW,595,2.0
BHW,12,3.0
BHW,1,2.0
BHW,451,3.5
BHW,199,3.0
BHW,154,2.0
BHW,66,3.0
BHW,483,3.0
BHW,431,3.5
BHW,587,2.5
BHW,363,2.5
BHW,4,3.5
BJ,610,4.5
BJ.Kim,297,4.5
BORA,419,4.5
BOSS,24,0.5
BY,655,3.0
BYKim,502,1.0
BYKim,206,1.0
BaekYounhee,296,4.0
Bddd,366,3.0
Be,10,3.0
BeNeo,454,4.0
BeNeo,654,1.0
BeNeo,390,4.5
BeNeo,279,3.5
BeNeo,413,1.0
BeNeo,589,4.0
BeNeo,207,2.0
BeNeo,342,5.0
BeNeo,212,2.0
BeNeo,611,4.0
BeNeo,312,3.0
BeNeo,432,3.5
BeNeo,503,2.5
BeNeo,398,2.5
BeNeo,586,5.0
BeNeo,610,2.5
BeNeo,556,3.0
BeNeo,431,2.5
BeNeo,564,4.5
BeNeo,270,3.5
BeNeo,294,4.5
BeNeo,319,3.5
BeNeo,593,0.5
Becky,316,3.5
Becky,291,4.0
Belderone42,447,3.0
Belial,174,4.0
Ben,193,3.0
Ben,423,3.0
Ben,424,2.0
Ben,86,3.5
Ben,308,2.5
Ben,419,3.0
Ben,418,3.0
Ben,352,3.0
Ben,421,3.0
Ben,420,3.5
Ben,176,3.0
Ben,422,3.0
Ben,525,3.0
Ben,473,3.5
Benjamin,49,3.5
Bible,104,3.0
BigstarPark,414,2.0
Bijou,204,3.0
Bitchplease,528,2.0
BlancPei,296,3.0
Blue,618,3.0
Blue,552,5.0
Blue,378,0.5
Blue,593,4.0
Blue,459,3.5
Blue,397,3.5
BlueClytie,307,3.5
BlueFin,104,3.0
BluePearl,606,4.0
BoYeonLee,107,5.0
BobChoi,360,2.5
Bonnie,650,2.5
Bonnie,535,4.5
BonseokKoo,326,3.5
BonseokKoo,102,4.0
BonseokKoo,328,3.5
BonseokKoo,191,1.5
BonseokKoo,164,1.5
BonseokKoo,465,1.5
BonseokKoo,365,4.5
BonseokKoo,170,3.0
BonseokKoo,660,5.0
BonseokKoo,373,5.0
BonseokKoo,616,3.5
BonseokKoo,364,2.5
BonseokKoo,190,5.0
BonseokKoo,577,3.5
BonseokKoo,322,4.0
BonseokKoo,137,3.0
BonseokKoo,18,3.0
BonseokKoo,14,4.5
BonseokKoo,329,3.0
BonseokKoo,27,2.0
BonseokKoo,15,2.5
BonseokKoo,325,3.0
BonseokKoo,109,4.0
BonseokKoo,324,3.5
BonseokKoo,492,4.5
BonseokKoo,16,3.5
BonseokKoo,579,3.5
BonseokKoo,655,2.5
BonseokKoo,166,3.5
